feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,6.781757,25.452711,10.974162,-1.9199638,-10.4853525,-15.709011
attn_0_0_outputs,1,1.4295937,3.2632368,-0.074068084,-2.4339116,-5.1740317,-3.098548
attn_0_0_outputs,2,1.0853696,2.85033,-0.07023634,-2.7719102,-5.3003054,-3.8455026
attn_0_0_outputs,3,1.5324218,3.3294716,0.415891,-2.2662394,-4.7209177,-3.3629472
attn_0_0_outputs,4,1.0801277,2.88044,0.028874561,-2.579776,-4.811679,-3.6099398
attn_0_0_outputs,5,1.0413198,3.1703262,-0.014626876,-2.2997146,-4.568741,-2.9599016
attn_0_0_outputs,6,0.33147946,2.3486278,0.06572169,-2.0305748,-4.2188454,-2.249484
attn_0_0_outputs,7,0.1623374,2.830696,-0.14196976,-1.2703604,-2.8180695,-0.34874895
attn_0_1_outputs,0,4.262853,13.889445,7.3905044,-0.72937316,-8.37309,-13.166056
attn_0_1_outputs,1,1.2386446,2.9108822,-0.2176869,-2.825408,-5.370257,-2.9436467
attn_0_1_outputs,2,1.7371144,9.852318,4.1092057,-2.8085132,-9.59537,-14.0036745
attn_0_1_outputs,3,0.71794397,3.1448169,-0.023318842,-2.7755547,-5.5583167,-3.5951939
attn_0_1_outputs,4,2.2684147,10.615341,5.2562523,-2.1873116,-9.4488535,-14.030566
attn_0_1_outputs,5,0.5881659,2.4700139,-0.08045172,-2.2570171,-4.1498766,-1.9420767
attn_0_1_outputs,6,0.40211794,1.7297664,-0.050353132,-1.4864924,-2.592189,-0.6177777
attn_0_1_outputs,7,0.4194881,2.907967,0.62582093,-1.6866827,-3.9042215,-1.8792101
mlp_0_0_outputs,0,0.4938747,0.630038,0.23696063,-0.5110521,-0.7338477,-0.6524683
mlp_0_0_outputs,1,0.74656296,0.19177268,-0.31644797,0.058880232,-0.66460264,-1.0663412
mlp_0_0_outputs,2,0.5359965,-0.04372708,-0.7205332,-0.7282277,-0.7255958,-1.1605394
mlp_0_0_outputs,3,4.233813,12.146829,4.1495814,-5.1848955,-11.641673,-16.112806
mlp_0_0_outputs,4,0.20570962,-0.24562106,-0.19681151,-0.36250097,-0.3743104,-0.7396391
mlp_0_0_outputs,5,0.8558908,0.5187872,0.0962603,0.30497876,-0.7910682,-0.49263448
mlp_0_0_outputs,6,0.4841655,1.0118659,0.03025597,-0.36506364,-0.70360786,-0.21639934
mlp_0_0_outputs,7,0.9191022,0.3703126,-0.28247193,-0.29374048,-0.6344728,-0.64356095
num_attn_0_0_outputs,_,-4.868864,-27.139973,-8.78817,5.6797624,15.745415,20.68757
num_attn_0_1_outputs,_,0.9234888,0.40377212,0.19646904,-0.013339977,-0.3078388,-7.9514294
num_mlp_0_0_outputs,0,1.1347574,-0.2206074,-0.33900908,-0.525305,-0.8139806,-0.8801327
num_mlp_0_0_outputs,1,3.9370484,-3.322479,-1.9119565,-0.60652006,-0.30610657,-1.285272
num_mlp_0_0_outputs,2,1.6984854,-0.56601596,-0.68408555,-0.67591697,-0.3258158,-1.005294
num_mlp_0_0_outputs,3,-7.021126,15.839726,6.340541,-3.105211,-10.3643875,-16.01029
num_mlp_0_0_outputs,4,1.4550712,-1.0342308,-0.34201962,-1.1408417,-0.93610877,-0.28879276
num_mlp_0_0_outputs,5,3.7206275,-2.0013118,-2.0068526,-1.2758466,0.019715928,-0.79015535
num_mlp_0_0_outputs,6,18.228642,-20.21013,-3.2542965,-1.0904899,-0.45162725,-0.012080559
num_mlp_0_0_outputs,7,2.5776606,-1.1733114,-1.8273598,-0.85842824,-0.93384117,-0.54284114
ones,_,1.283879,6.372424,2.8256679,-1.4089221,-8.6447,-11.394332
positions,0,0.5897627,0.16051057,0.7623805,0.24794468,0.1367697,0.36979273
positions,1,1.0287309,4.5030293,2.3415422,-1.3173267,-6.8056574,-10.195892
positions,2,1.083402,4.620112,2.3640404,-1.3567489,-6.838617,-10.438745
positions,3,1.0730014,4.6261773,2.4860039,-1.2073922,-6.6122475,-10.18452
positions,4,1.0189941,5.8566985,2.620293,-1.7836683,-7.4319153,-11.364978
positions,5,0.96149987,4.631558,2.526294,-1.1215514,-6.515995,-10.108589
positions,6,0.44539887,5.6350055,2.9353447,-1.8244816,-7.916871,-11.977934
positions,7,1.1673726,6.778532,3.7333648,-0.52524173,-6.0611577,-9.702886
tokens,0,1.217923,4.5158324,2.319617,-1.2275133,-4.5206556,-6.714174
tokens,1,0.4282554,3.2384415,1.0357013,-2.5313835,-5.9769506,-13.27017
tokens,2,1.4819847,5.0116262,2.8555121,-0.65765595,-4.2250724,-5.598877
tokens,3,1.1304332,4.4012556,2.251413,-1.3463753,-4.7049932,-6.437009
tokens,4,0.8615442,3.7823195,1.4800204,-2.1071358,-5.914414,-12.4524975
tokens,5,1.0285466,4.464686,2.3432922,-1.1491289,-4.432571,-6.315694
tokens,<pad>,0.83862156,0.89218545,-0.032585267,-0.8908109,-0.610661,-0.34020367
tokens,<s>,0.3811775,0.747888,-0.18793498,-0.6211176,-0.59679526,-0.5371528
